,tweet,sentiment
44,RT @Ben_Howe: Stupak  he's recording yay/nay call-ins to help make his decision. (202) 225-4735  CALL NOW!  KEEP TRYING! #tcot #hcr,neutral
45,"Cantor pushing memo that Dems are 7 votes short, but he assumes 12 Stupak block votes. I think we're done. http://bit.ly/9ipfOd #hcr #p2",neutral
46,"Paul Ryan, 'This bill is the Mother of all Funded Mandates'' #hcr",positive
47,We have Paul Ryan. They have Patrick Kennedy. Nuff Said! #tcot #teaparty #killthebill #hcr #ocra,positive
48,"Paul Ryan on Floor: listed all the new #HCR reform MANDATES on people, businesses & states. Too many to list. #tcot #tlot #p2 #teaparty #gop",positive
49,RT @NorsU: RT @southsalem: We have Paul Ryan. They have Patrick Kennedy. Nuff Said! #tcot #teaparty #killthebill #hcr #ocra,positive
50,"Of all forms of inequality, injustice in health care is the most shocking and inhumane.'' -MLK #HCR",positive
51,RT @Zener39: RT @JackieSeal    RT @JoeKenHa: ''We can't even afford the government we have now'' -Paul Ryan #tcot #hcr,positive
52,we govern by consent of the governed. That principle is being turned on it's head today.'' -Paul Ryan #hcr #killthebill #tcot,positive
53,Stupak & Co. should be looking at how Scott Brown became a national hero after opposing OCare-better than being national traitor. #tcot #hcr,negative
54,"I haven't changed, my party has!''---Olympia Snowe(R}-- #tcot #tlot #gop #hcr #ocra #p2 #ucot #teaparty #topprog",positive
55,Why don't the people against #HCR just confess to the fact that they are in love with the idea of genocide?,positive
56,MSNBC: Stupak ''yes'' vote confirmed--#HCR bill almost certain to pass. ~ http://bit.ly/9xoh3C,positive
57,"Rep DeGette sez pro choice members in 1 rm, Stupak in another, with WH & Pelosi officials running shuttle between them #hcr",neutral
58,@reppaulryan thank you for all your efforts on #hcr ! #killthebill,negative
59,Now hearing the #HCR vote may be pushed to late tonight. Keep the calls going: http://bit.ly/cN47E1 #OFA #p2,neutral
60,Kill The Bill Sunday (UPDATED): http://bit.ly/9ZeH5e Just updated - they still DO NOT have the votes!  #killthebill #hcr,negative
61,Crammed into an elevator with reporters Stupak says he's still a ''no'' and that no agreement has been reached. #hcr,neutral
62,Obama Admits HealthCare-Not Jobs or the Economy-Is `Most Important Domestic Priority' http://short.to/1qdaq #tcot #HCR,negative
63,TYRANNY places OBAMACARE over INDIVIDUAL RIGHTS http://bit.ly/SMARTChoice #tweetcongress #hcr,negative
64,"The passage of this #hcr takeover lays in the hands of just a few Dems, we are keeping the heat on them and you should too. Speak up!",positive
65,"RT @ConnieHair: Unless a deal is struck with Stupak, Dems appear to be short on votes http://ow.ly/1p5fL #tcot #hcr",neutral
66,"pffft, you voted for #obama how does ur opinion matter when you provd u cant think for yourself already comrade? #hcr #teaparty #killthebill",negative
67,"Rep. Devin Nunes (R-CA) attacks VA healthcare on C-Span. Keeps repeating less government, less taxes. #hcr #healthcare Vote this bum out!",neutral
68,"as recent as 20 min ago, Stupak is still a NO vote according to Carl Cameron #tcot #hcr",neutral
69,Will Jim Marshall (D-GA8) and John Barrow (D-GA12) stab their constituents in the back by voting against Ryan's point of order? #hcr,negative
70,"Issa:  80 GOP amendments fixing many earmarks offered, all denied review. #tcot #hcr  House goes out of order...haha",negative
71,"Darrell Issa makes a point of order saying #hcr was product of backroom deals, out of public light and full of earmarks",neutral
72,"@reppaulryan ,''We govern by consent of the governed'' #tcot #p2 #hcr",neutral
73,IRS DIRECT WITHDRAWAL FROM YOU BANK ACCT? @senbillnelson @markudall #tweetcongress #hcr http://bit.ly/IRSDirectWithdrawal,negative
74,TYRANNY is making up the rules as you go along #tweetcongress #hcr http://bit.ly/NancyPelosi,negative
75,I would rather have the govt. involved in my health care than some rich asshole millionaire on a yacht telling me I can't have ANY! #hcr,positive
76,Whoopi Goldberg said it best when speaking about #hcr.  directed to members of the house and senate ''Gimme what YOU got''.,positive
77,"RT @SamiShamieh: Like it or not, the only people standing for liberty right now ARE Republicans. They deserve credit! #tcot #HCR",positive
78,and did Rep. Smith really just say #hcr will mean more ''dead babies'' .... #myheadhurts,positive
79,"Rep Langevin (D-RI) - if we secure #hcr today, we know many Americans will wake up to a better tomorrow for themselves and their families.",positive
80,RT @1nv1ctus RT @chelseablobs: How can Republicans be 'pro-life' when they are letting innocent people die by not voting for #HCR ? #c-span,positive
81,"Treason, High Crimes & Misdemeanors! Press Charges on our own government this is a sad day....",negative
82,Kind of sad that only in America could not going far enough to do the right thing be considered ''landmark''. #p2 #hcr,negative
83,RT @brikeilarcnn: Rep. Bart Stupak just announced a 4 p.m. press conference. #hcr,neutral
84,michellemalkin: Procedural vote to move forward on #hcr passes 228-195,neutral
85,"Remember those heady days when the Supreme Court could rule on the constitutionality of, say... choice? #hcr",negative
86,BREAKING FROM CAP HILL: Mike Pence just came out onto the balcony w/a sign: ''DEMS DON'T HAVE THE VOTES'' #tcot #hcr #th2dc,neutral
87,If I get hypertension watching #HCR #CSPAN is that considered a pre-existing condition next time I go to the doctor?,negative
88,"also, I <3 Rep. Louise Slaughter (D-NY). #p2 #hcr",positive
89,I can't see why #HCR would NOT be passed! What's the alternative?!? The status quo with morbidity,positive
90,"As of 317p ET: 39 Democratic 'Firm No, Leaning No, Likely No' http://is.gd/aRUSn #tcot #sgp #ar02 #ar2 #hcr",neutral
91,"Norm Ornstein: ''If Tom Daschle had been confirmed before Tim Geithner, you would have seen a #hcr signing ceremony 4 months ago.'' I agree.",positive
92,"#HCR WATCH => Unless deal struck w/ Stupak, Dems appear 2B short on votes http://tiny.cc/0wnst RT @MicheleBachmann #killthebill #tcot #sgp",negative
93,For every minute the house continues to argue about #HCR... TWO more people die of heart attacks.,positive
94,"According to my pal Tim Noah, who's been covering #hcr for Slate, passage of the bill is all but a done deal as of now.Please be right, Tim.",positive
95,Slaughter's scheme makes Senate bill law with all its backroom deals. We need to stop and start over. #hcr #tcot #hc #sgp,negative
96,BREAKING FROM CAP HILL: NO vote until at least 4:30p - may go to midnight. THEY DON'T HAVE THE VOTES - CALL-CALL-CALL!! #tcot #th2dc #hcr,negative
97,Carter pollster Caddell called health bill vote ''political Jonestown'' for House Dems http://tinyurl.com/yl6ears #HCR,negative
98,RT @fivethirtyeight: CNN: Steve Driehaus will vote YES. #hcr,neutral
99,hey #tcot... we surround you. #p2 #hcr,negative
100,"Via @jcohntnr, here's a timely & thoughtful piece by @ezraklein on who #hcr really targets to help in America: http://tinyurl.com/yhtwk35",positive
101,GOVT #HCR ALREADY FAILS => Medicare Denies More Claims than Top Providers http://bit.ly/25UCkD #sgp #ocra #tcot #teaparty #killthebill #rs,negative
102,I wonder how many of those #hcr protestors took the government run public transportation to get to their anti govt rally?,positive
103,Why aren't more Democrats willing to stand up for hard-working Americans by voting no on this monstrosity of a bill? #utpol #tcot #hcr,negative
104,"We're saying NO because it's unconstitutional, vastly increases gov't, and infringes on our rights & liberty. DOH! #hcr #c-span",negative
105,"@theprez98 If the Dems were made to do a roll call for their votes, I guarantee they wouldn't get the number they need to pass #hcr",negative
106,Frum: this may end up being #GOP Waterloo due to encouraging radical reaction to #hcr rather than negotiating.,negative
107,We'll soon see: The Hill says Stupak group voting yes on #hcr. http://bit.ly/alVTZo,neutral
108,"More Buying of Votes >>> Insurers, Doctor-Owned Hospitals Get Late Help - ABC News: http://bit.ly/bwG5TX #tcot #hcr #killbill",neutral
109,RT @owillis: hey #tcot... we surround you. #p2 #hcr,negative
110,Orszag hits back hard at #hcr fiscal critics http://bit.ly/cE28Z9,neutral
111,President of National Association for the Advancement of Bart Stupak to speak at 4:00 on #hcr deal.,neutral
112,"RT @lilleth71  More Buying of Votes >>> Insurers, Doctor-Owned Hospitals Get Late Help - ABC News: http://bit.ly/bwG5TX #tcot #hcr",neutral
113,Senate Repubs found provision in #hcr that likely makes it ineligible for expedited reconciliation actions #killthebill http://bit.ly/3hbmZQ,negative
114,RT @Proudlib: Whoa...Bush speechwriter saying #hcr could be the REPUBLICANS' Waterloo.,negative
115,How long can they do that? @bacigalupe'' Via @CQHealthTweet: Last votes expected 10 to 11 p.m. #hcr #healthcare,neutral
116,Call Rep. Paul Kanjorski at (202) 225-6511and urge him to vote NO on #hcr,negative
117,"#killthebill ``If you vote for this #hcr bill, never again can you claim to be pro-life.'' Suzanne Kosmas (FL-24) - (202) 225-2706 #tcot #p2",negative
118,TYRANNY is taking Health Care Choices AWAY from Seniors #tweetcongress #hcr http://bit.ly/dcx9KO,negative
119,Glad to see @EvaLongoria whipping for #HCR.,negative
120,#Dems prevail on second point of order in #hcr House debate. #politics,neutral
121,Stupak: ''I'm pleased to announce that we have an agreement ... to protect the sanctity of life in #hcr.'',neutral
122,Stupak gives presser introducing the Congressional Gullibility Caucus. #hcr,negative
123,Stupak caves for political power: myth of ``pro-life Democrat'' now as dead as the aborted unborn boys and girls #tcot #p2 #hcr,negative
124,POLLING PROOF: VOTE YES TODAY -- SAY BYE BYE IN NOV @frankpallone @repperlmutter @cbrangel #tweetcongress #hcr...,negative
125,POLLING PROOF: VOTE YES TODAY -- SAY BYE BYE IN NOV @frankpallone @repperlmutter @cbrangel #tweetcongress #hcr...,negative
126,"RT @atdleft: http://bit.ly/btHfOe Stupak folds, Obama exec order here, #hcr now set to pass",neutral
127,Stupak folds for an empty piece of paper. Once again confirmed: there is no such thing as a ''moderate Democrat.'' #hcr,negative
128,Stupak is as Stupak does.  #twisters #StormTheHouse #tweetcongress #molonlabe  #hcr,negative
129,RT @kathrynlopez: most quoted line to me in the next 24 hours will be: never trust a Democrat. #sigh#hcr,negative
130,"Well, Stupak just signed his pink slip. #tcot #hcr #killthebill",negative
131,RT @michellemalkin Stupak folds for an empty piece of paper. Once again confirmed: there is no such thing as a ''moderate Democrat.'' #hcr,negative
132,"If there was any doubt that the House would pass #hcr tonight, it has apparently been dispelled with the Stupak news.",negative
133,The Health Care Vote Is Also HUGE For The Future Of Student Aid ... More Info Here: http://bit.ly/dj4ATM #HCR #SAFRA,neutral
134,"Fine, Stupak. Take your 15 minutes and kindly see your ass off stage. As a fellow attention whore, I'll leave it at that. #hcr",negative
135,want a real #hcr policy expert in the Massachusetts State House? Help our campaign today! http://bit.ly/6pHItl #mapoli,neutral
136,RT @exposeliberals: I really hope  Hussein Obama undos his executive order in a week or two to make Stupak look like a fool #tcot #hcr,negative
137,"RT @BuckMcKeon VFW: #HCR Bill Betrays Veterans- dsn't protect #hc programs for vets, service-members or their families http://ow.ly/1p5jt",negative
138,"If the Stupak Exec. Order exist & is serious, why doesn't POTUS sign it right now! #tcot #HCR #killthebill",negative
139,"RT @DavidOAtkins: A fetus is NOT a child, you $#@$#@  @#$@$@#$E. #hcr",negative
140,Stupak folds for an empty piece of paper. Once again confirmed: there is no such thing as a ''moderate Democrat.'' #hcr (via @michellemalkin),neutral
141,"MONEYBOMB. @SusanAnneHiller: Bart ''The Baby Killer'' Stupaks OPPONENT GIVE NOW, GIVE BIG: http://bit.ly/9jsUCJ #tcot #prolife #hcr",neutral
142,LATEST: Stupak SELLS OUT! Yoest Declares 'PRO-LIFE EMERGENCY'! http://bit.ly/9an9pg [] #hcr #TeaParty #tcot PLZ ReTweet,neutral
143,Accept such a promise from 1st presidential candidate ever endorsed by Planned Parenthood? Stupak is a stooge! #tcot #killthebill #hcr #phnm,negative
144,"As @RyanGrim notes, with the Stupak crowd in hand, Pelosi would now have had enough votes for a public option #hcr",neutral
145,"RT,@LibertyRoll ,ARE YOU ONE OF NANCY'S USEFUL IDIOTS? - YOU GO IN NOV @repjimmatheson @repmikemichaud , #hcr http://bit.ly/AdviceForDems",negative
146,RT @ExJon: RT @RubySlipperblog: Stupak's opponent: http://is.gd/aROJS <--DONATE $ NOW. Kick his ASS out in November. #HCR (via @JackieSeal),negative
147,STUPAK aka BABY KILLER--CANNOT WAIT TO SEE U WHEN U GET HOME #WEWILLNEVERFORGET @HOUSEDEMOCRATS #tweetcongress #hcr #killthebill,negative
148,Art.1\u00a78 US Const. Does not allow GOV to regulate commerce INACTIVITY! #tcot #teaparty #hcr #congress #killbill #fnc,neutral
149,"Seriously, Republicans shouldn't be so dismayed. After all we're talking about helping more Americans get health coverage #hcr",positive
150,I'm proud to have you as the cook Rep. Slaughter. You rock. #hcr #ptdb,positive
151,"@AlanGrayson Millions of Americans are holding their breath today, hoping to learn if they'll finally be able to see a doctor tomorrow. #HCR",neutral
152,"RT @amy_vrwc: SEIU busing in protestors to the Hill...if you're a patriot in the DC area, get to the Hill NOW. #tcot #hcr #killthebill",negative
153,"Congrats, Bart Stupak. Your opponent will receive my 1st political contribution of 2010. #HCR #Fraud #Fail #Treason",negative
154,its kind of amazing to see the gop crumble just a couple months after they elected scott brown and thought that #hcr was dead,negative
155,RT @RhodesNews: Progressives: You have awakened a sleeping giant.  http://bit.ly/a9qS4P #hc #p2 #topprog #tcot #tlot #hcr,neutral
156,RT @KagroX: RT @owillis: amazing to see gop crumble...months after they elected brown & thot #hcr was dead | But.. he had a TRUCK!,negative
157,I'm taking a break from this healthcare mess and watching the Rockies vs Royals!  Go Rockies!  #killthebill #hcr #Rockies,neutral
158,"Do you 'tards know what ''approximately'' means? Did you count them? #hcr RT @foxnewspolitics Approx. 1,000 Protestors Gather Outside Capitol",negative
159,Stupak says his understanding is that Obama would sign the Exec Order after he signs #HCR billl into law.,neutral
160,"Every single person I encounter wants #HCR, this bill & a whole lot more. Along w/ my prof. org and Catholic hospital I work for. Get a grip",positive
161,Stupak: Dems are ''well past 216'' votes for #hcr #healthreform,neutral
162,Staten Island's Michael McMahon will vote against #hcr,neutral
163,RT @DavidCMurphy: C-SPAN's website overloaded; watch the livestream of the House #hcr debate here: http://www.politico.com/livestream/,neutral
164,Stupak: ''We're now well past 216.'' #hcr,neutral
165,RT @DanStlMo: Stupak's opponent: http://is.gd/aROJS <--DONATE $ NOW. Kick has ASS out in November. #HCR #tcot/looks like ur a go!,negative
166,The only free lunch is found in a mousetrap.'' #killthebill #HCR #codered #tcot #GOP @CSPAN,negative
167,"Don't vote ''yes'' because you feel it's good for America. Vote ''yes'' b/c you were bribed or lied to, having not read the bill yourself. #hcr",negative
168,Doesn't make sense to me that many self-proclaimed pro-lifers don't want us to be able to afford health care once we're born. #hcr,negative
169,Details of the phony baloney exec order via @jamiedupree http://bit.ly/cgqwRH #hcr,neutral
170,"Obama's #HCR bill is going to KILL 700,000 jobs, NOT CREATE THEM. #p2 #tcot #hc http://bit.ly/bNZDyb #gopcodered",negative
171,Liberty First PAC will now be targeting Bart Stupak for his betrayal of America. http://bit.ly/cIyw3a #hcr,neutral
172,Our blood is on #Stupak 's hands if #hcr passes today.,negative
173,"RT @Conservativeind: Obama's #HCR bill is going to KILL 700,000 jobs, NOT CREATE THEM. #p2 #tcot #hc http://bit.ly/bNZDyb #IMPEACH #TREASON",negative
174,"RT @nicopitney: As @RyanGrim notes, with the Stupak crowd in hand, Pelosi would now have had enough votes for a public option #hcr",neutral
175,"RT @LeaderHoyer: I was on MeetthePress this morning to discuss today's expected vote on #hcr http://go.usa.gov/ilv // and you ROCKed, sir!!",neutral
176,"RT @ConservativeLA: Thank you, GOP, for standing united. #killthebill #HCR #codered #tcot #GOP @CSPAN #tcot #codered",positive
177,Our Beloved President Ronald Reagen Is Rolling In his Grave..#teaparty #tcot #gop #hcr,positive
178,Media LYING About Racist Attacks on Black Reps By Tea Party Protesters... VIDEO PROOF [http://bit.ly/aObust] #tcot #HCR,negative
179,"if it is going to protect 11,000 families from bankruptcy, then RADICALIZE ME --Rep Alcee Hastings on #HCR",positive
180,The cool-as-heck ''Whipometer'' by @slate puts the chance of #hcr now passing at 98% with Stupak's support: http://www.slate.com/id/2247673/,neutral
181,Matsui on CSPAN. Proud to cast her vote for #hcr #p2. Now the bigot Foxx is on...what a joke.,negative
182,Stupak's opponent: http://is.gd/aROJS <--DONATE $ NOW. Kick has ASS out in November. #HCR #tcot #sgp (via @JackieSeal),negative
183,"100% support AG McCollum's lawsuit to declare Health Care Bill Unconstitutional.  He's right on the law, and right to take action. #hcr #hc",positive
184,"@SnikkiG #Teabaggers hate big words and are intimidated by these scary ''book'' things, would rather watch #nascar #tcot #hcr #teaparty",negative
185,The French just called. They said they were shocked at how easily Stupak surrendered. (Via House Democratic Cloakroom) #hcr #hc,negative
186,"Stupak to vote yes, after being assured that no funds from the health care bill will be used for health care. #hcr",negative
187,"RT @ljarratt Bart Stupak's campaign phone # (906) 863 -2800 Call, tell them you are donating to his opponent for his betrayal #teaparty #hcr",negative
188,"If link to Senate GOP release on #hcr fix rule violation not working for you, try here: http://bit.ly/bE1XJ5 #tcot (via @Bill_Dupray)",neutral
189,Watch for stupak to cave after all! Just saw him and pelosi smiling and squeezing hands on the floor. Call his office! #hcr #teaparty #tcot,negative
190,"Caddell, continued: ''... This (#hcr) is political Jonestown.'' #pdk #tcot #teaparty #NewCongress",negative
191,State of Florida to file suit the moment Obama signs #hcr,neutral
192,"RT @wickedpoptart RT @amy_vrwc: SEIU busing in protestors..if ur a patriot in the DC area, get to the Hill NOW. #tcot #hcr #killthebill RT!",negative
193,Sob story!  Drink!  #hcrdrinkinggame,negative
194,GOP's #hcr outrage would ring more authentic were it not for Medicare D. Upside: Day when fed gov defaults on debt will now come sooner.,negative
195,Isn't ANYONE concerned that we are a plutocracy & the health ins. co's spent a million per day on lobbying?  Am I alone & naive here?  #hcr,negative
196,"RT @BrentTeichman: Congrats, Bart Stupak - You are trending on Twitter. That is what happens when u betray your country. #Treason #HCR",negative
197,Mike will vote 'yes' on health care provided there is no compromise on choice in the bill #hcrvote http://bit.ly/aFCr3U,neutral
198,Obama is going to get #hcr through...History will be made today people!!!,positive
199,RT @Thatcher: State of Florida to file suit the moment Obama signs #hcr,neutral
200,"RT @EmpowerdPatient: As a stage 4 cancer fighter, #HCR may not come in time 4 me (4 yrs is 2 far out), but I'll B glad 4 millions of others.",positive
201,"Although electoral consequences of #hcr are highly uncertain, how many GOPers will go to bed tonight feeling remotely good about this?",positive
202,"Roosevelt had the vision, Clinton attempted it, Obama will execute it #hcr",positive
203,About to go on MSNBC to talk #hcr. In moments.,neutral
204,"Congrats, Bart Stupak - You are trending on Twitter. That is what happens when u betray your country. #Treason #HCR",negative
205,Q: did Stupak get a promise from BHO for a big admin job when he loses in Nov? #tcot #hcr,negative
206,When health care reform gets personal  #hcr http://whrrl.com/experience/story/19484971,neutral
207,TNA's Yuval Levin: #Stupak & Co have accepted a meaningless executive order. http://is.gd/aRYLs #hcr #healthcare,negative
208,"RT @gregpinelo GOP opposed SocSec, Medicare, civil rights, minimum wage, seat belts, Clean Air Act. Now #HCR... via @@kombiz",negative
209,RT @KatrinaNation My favorite provision of #hcr is tax on tanning booths. Now Boehner can eat crow 3x a week.,neutral
210,This is NOT about our health anymore than the FLOTUS obesity speel is about our hips! It is about Control and Power! #TweetCongress #hcr,negative
211,Excellent speech by Connie Mack of Florida!!!! ''The American people deserve to be listened to''!!! #p2 #tcot #hcr,positive
212,Someone should ask for consent to revise and extend their remarks in opposition to this poopy health care bill. just to mix it up. #HCR,negative
213,Today we are reminded ->> ''Freedom is never more than one generation away from extinction.'' ~Ronald Reagan #HCR,negative
214,Outspoken Democratic Rep. Anthony Weiner faces the Tea Partiers http://bit.ly/bnG8YK #hcr,neutral
215,Stupak on foxnews trying 2 pretend that an executive order is law.. what a weasel for sure #hcr ppl are not that dumb any pres can cancel it,negative
216,"#hcr is just 'foot in the door' for total control, they want it all-Alinsky Marxists... #tcot #p2 #gop #sgp #tlot #ocra #ucot #hhrs #teaparty",negative
217,[Thanks for civility!] RT @barrykw: I don't think this bill is a good one but I still think its a step in the right direction! #HCRplus,positive
218,White House announces Obama will make statement tonight after the ''final vote'' in the House. #hcr,neutral
219,This flawed health care bill?'' Are the Republican really using a tactic from the kindergarden joke book? #hcr,negative
220,I'm so tired of old white guys deciding what is in my best interest. #hcr,negative
221,"Anticipating victory, Pres. Obama to make East Room statement tonight after House final passage of #HCR legislation.",neutral
222,"Mr. speaker I ask unanimous consent that they stop this conga line, or, turn up the music.  #HCR",neutral
223,We're looking for your comments on #hcr to include on our homepage.  Use #nythcr. (Live blogging here: http://nyti.ms/2V9nOo),neutral
224,26 year olds are considered ''children'' in Obama's America #tcot #hcr #gopcodered,negative
225,Class! RT @JoeWilsonjr: First Ho michelle obama very busy today giving Handjobs for #hcr votes. You can take the Ho out of the projects but,negative
226,Breaking! Bart Stupak invited to Rahm's tickle party tommorow night! #tcot #p2 #hcr,negative
227,Bart Stupak's opponent Benishek: http://www.facebook.com/group.php?v=wall&gid=287806148754 #tcot #hcr #teaparty #gop #killthebill,neutral
228,Bart Stupak's Plan for Dummies: Go along w/ the pack but put up a little resistance 1st so it looks like you fought. #killthebill #tcot #hcr,negative
229,"RT @Drsforamerica Doctors, nurses, hospitals support #hcr bill. Health professionals know we need this bill to pass. #hcr #tcot #GOPwaterloo",neutral
230,I see Rep. Stupak's WikiPedia Has Been Updated http://twitpic.com/1a3bq0 #tcot #hcr,neutral
231,The worst part of this health care bill is the obscene accountin gimmicks that would land any CEO behind bars. #hcr,negative
232,"FLASH Protesters throw bottles at Capitol, possibly explosives: http://bit.ly/69WAd5 #hcr #teaparty #obamacare #killbill #healthcare #gop",neutral
233,#Obama care gives $1B / yr to the IRS for enforcement of the mandate http://bit.ly/9X1LiA #killthebill #hcr #healthcarereform #freedom #digg,neutral
234,"Don't forget grandma. It kills grandma, too. That's the best part. Hail, Satan. #hcr #p2 #tcot",negative
235,RT @schmiss: One of them should say ''iawtc'' and every other Republican shout RT it. #hcr #cspan,neutral
236,Please don't donate to Stupek opponent unless you know it is legit! #TCOT #P2 #HCR #StupekObama,neutral
237,"RT @xXxLiLxSM0K3xXx: RT @RyWeezy: What's even better is you won't see anything for 4 years, but you'll start being taxed IMMEDIATELY. #hcr #",negative
238,"RT.@Drsforamerica Doctors, nurses, hospitals support #hcr bill. Health professionals know we need this bill to pass. #hcr #p2 #p2b",positive
239,Jo Ann Emerson is reported to be whipping up crowds that are hurling racial slurs  http://kcblueblog.blogspot.com/ #HCR #MO8,negative
240,"RT @avivao: RT.@Drsforamerica Doctors, nurses, hospitals support #hcr bill. Health professionals know we need bill to pass. #hcr #p2 #p2b",positive
241,RT @stevekimura: I ask unanimous consent to ask to revise and extend my remarks in opposition to this GOP BS. #p2 #HCR,negative
242,#hcr page 225 lines 16-27 All #conservative #gop #teaparty must stand on one foot and HOP! #p2 #tcot #topprog #dem #obama,negative
243,"In November, remember how much the #gop hates America and our system of government. /via @SupermanHotMale\n#hcr",negative
244,Nearly 60 GOP mebers have asked to ''revise and extend'' their remarks ''in opposition to this flawed health bill.'' #hcr,neutral
