,content,sentiment
39,Amnesty Internat'l: Appalling how many women r dying in the US fr complic due 2pregnancy & childbirth.  1/2 can be prevented. #hcr,positive
40,How he sleeps at night. RT @wolfblitzercnn: Karl Rove joins me Wednesday in SitRoom 5PM ET. What would you ask him?,negative
41,Uncovered Shocker: Sen. Byrd Single-Handedly Stopped President Clinton From Using Reconciliation http://tinyurl.com/yl252v5  MUST SEE #hcr,negative
42,The Dem scheme to ram health care takeover through Congress now has a name: the Slaughter Solution http://bit.ly/aMxRVS #hcr,negative
43,RT @GOPLeader: The Dem scheme to ram health care takeover through Congress now has a name: the Slaughter Solution http://bit.ly/aMxRVS #hcr,negative
44,Nancy Pelosi: We have to pass #hcr so you can find out what's in it http://is.gd/a5XoOhttp://is.gd/a5XBB #tcot #tlot #sgp #hhrs,negative
45,"RT @Senate_GOPs TPM: GOP To Dems: If You Think You'll Be More Popular After Health Care, Think Again http://bit.ly/bsdauM #tcot #hcr #sgp",negative
46,Pelosi Political Suicide Squad http://bit.ly/bqeLFE #p2 #tcot #hcr,negative
47,NYTimes:BO #hcr FATAL FLAW! http://nyti.ms/bYncPq #tcot #teaparty #sgp #beck #gop #rush #p2 #dnc #dems #politics #conservative #ocra #hcr,negative
48,"RT @michellemalkin: Via @GOPleader, here's what Dem schemers are up to now: The Slaughter Solution http://bit.ly/aMxRVS #hcr",negative
49,Tired of Stupak kicking women around like political football? Want real health reform? Support @Saltonstall2010: http://is.gd/a9KCR #hcr #p2,negative
50,Obama just tweeted that he wants ppl to spread the facts abt #hcr. Too bad Pelosi admitted already that we won't know facts till it's passed,negative
51,The average person in the individual market paid 52% of their health coverage out-of-pocket. #hcr,neutral
52,#hcr RT @PacificCove Alzheimer's 'Epidemic' Hitting Minorities Hardest - http://bit.ly/a6ge5M,neutral
53,we talk #hcr & 2010 positioning w/ @DCCC's Chris Van Hollen & @anamariecox. #TopLine live link noon ET: http://tinyurl.com/toplinelive,neutral
54,"Rep .@AlanGrayson arguing for a vote for HR 4789, a bill to allow anyone to buy into Medicare. Video http://bit.ly/camQ7v #HCR #p2",neutral
55,RT: @buzzflash: AP Poll Finds Only 4% of Americans Do Not Want #HCR: http://ow.ly/1gDLw  #p2,neutral
56,Larry Minnix explains how health reform would affect seniors: http://bit.ly/bAvZm5 #HCR #AAHSA10,neutral
57,"Reminder: kickoff #SXSW 2mrrw w/ #SXSH, Social Health Conf. http://bit.ly/dhkD0g. It's sinful 2 be ths exctd abt #HCR innvatn! :)",positive
58,@KarlRove Great article in the WSJ today! #tcot #hcr #obama #reconciliation,positive
59,RT @markos: Good to see labor aboard: Any Dem voting against #HCR will be under threat of primary in 2012: http://is.gd/a8N57,positive
60,Rush Limbaugh says he'll leave the country if Health Care Reform passes. Can we get a notary and make this official? #hcr #takeglennbecktoo,negative
61,How many ppl would make 2 years of car payments before actually GETTING the car?  THAT is what Obama's #HCR does #tcot #p2,negative
62,Great turnout already on #hcr petition. Keep spreading the word. Tell 5 ppl 2 sign up now! http://ow.ly/1djQt,negative
63,"Sen. McConnell: What we need to do is put the 2,700-page #HCR bill on the shelve and start over with a bipartisan step-by-step appoach.",negative
64,President Obama to America:  We're Sticking With Our Fundamentally-Flawed Government Takeover of Health Care http://bit.ly/dklZei #hcr,negative
65,Obama on #hcr: ''Make ur voice heard.'' But only if u agree w/him. Every1 else: Shh. http://is.gd/9CaaT #wreckonciliation,negative
66,McConnell: ''What we know about the health care bill is people don't want it passed.'' #tcot #hcr,negative
67,Retweet if you have a friend without healthcare - Can you #GOP bastards help out your fellow Americans ? ENOUGH ALREADY!! #TCOT #HCR #P2,negative
68,Dear GOP: AMERICANS deserve the same healthcare Congress has. Only an *elitist* would disagree. #gopcodered #p2 #hcr,negative
69,"Let me get this straight,unemployment is  10-17%, Obama SOTUS promise was to drive more jobs yet the majority of his time is spent #hcr?!",negative
70,A person diagnosed with cancer in the US lives on average 5 years longer than a person diagnosed with cancer in the UK. #hcr #p2 #gop #tcot,negative
71,Stand up for the constitution! Call #Congress NOW! Tell them NO on #hcr! (202) 224-3121 #tcot #teaparty #ocra #women www.house.gov #killbill,negative
72,#thankaliberal if you think it's fiscally responsible to spend billions to educate & supply HC to illegal aliens. #tcot #gop #hcr,negative
73,Call #Congress today on your break: (202) 224-3121; email: www.house.gov NO on #hcr #tweetcongress #tcot #tlot They need to hear TODAY!,negative
74,45K Americans die each yr b/c they don't have hlth ins. Proof: http://bit.ly/39Pw8q #hcr #hcrsummit,positive
75,Why We Need Health Care Reform: http://bit.ly/cM35MN #hcr #p2 #topprogs,positive
76,"Healthcare is not a privilege, it is a right! That is why I support healthcare reform. #hcr",positive
77,Here's a #hcr proposal short enough for Mitch McConnell to read: pass the damn bill now.,positive
78,The need is great. The opportunity's here. Let's seize reform. It's within our grasp'' - President Obama on #HCR yesterday morning in PA.,positive
79,"There are over 3000 mandates in #HCR bill and the REGs haven't been written, Do You Know How Each Will Effect Your LIFE? #p2 #tcot #teaparty",negative
80,Obama is on Fox News now. Yawn! First time I've turned off Fox News in months. #TCOT #P2 #HCr,negative
81,@AmeriKeith Bret Baier hammering Obama over #hcr. The only intellectually honest interview since he took office. #hc #killthebill #p2,negative
82,Denver's Archbishop Chaput: health-care bill ''does not meet minimum moral standards''  http://tw0.us/8XO #tcot #hcr #sgp #hhrs #redco,negative
83,"I see #Conservatives and #TeaParty nuts, who can't afford #HEALTHCARE, trying to fight the healthcare bill. http://bit.ly/c2PXLL #tcot #hcr",negative
84,Final thought on Obama's @FoxNews Interview w/Bret Baier: MAN UP. #hcr #tcot #gop #sgp,negative
85,Fox Noise is Un American trying to make our President look like a liar. #p2,negative
86,"Yes, journos:  the fact that Pelosi convinced one of the most liberal members of the house to vote for #hcr is nothing short of miraculous",negative
87,http://twitpic.com/197uxl - Obama doesn't think it's a big deal that Dems are circumventing CONSTITUTION to shove thru Obamacare #tcot #hcr,negative
88,"Today's interview with @Bret_Baier was a disaster for Obama, just like the Blaire House meeting #tcot #P2 #hcr",negative
89,"RT @judicialabuse For America to thrive again, we MUST rid our country of this mental illness called entitlement #tcot #hcr #teaparty",negative
90,Assurant Health Ins. automatically targeted people with HIV for fraud to be able to drop them & they say we don't need #HCR,negative
91,On @hannityshow at approx. 930pm Eastern tonite to talk Demcare arm-twisting. #hcr #wreckonciliation,negative
92,"House and Senate GOPers to hold special joint conference on Thursday morning on #hcr, according to a notice sent to GOP rank and file",neutral
93,"Fox News just announced that CBO score will NOT be released B4 midnight, pushing earliest vote off to Sunday. #hcr #hc #rhodesnews",neutral
94,Bret Baier vs. Barack Obama: http://z.pe/30gz #tcot #sgp #hcr #p2,neutral
95,There is nothing more #pro-life than protecting the lives of 31 million Americans.'' http://bit.ly/b8DXel #hcr #passthedamnbill,positive
96,RT @gilcarvr: 'bout freakin time @GOPLeader: Governors Rise Up Against Federal Takeover of Health Care http://bit.ly/bN9lvv #hcr #alpolitics,positive
97,Blue Dogs Looking forward to your VOTE FOR #HCR @GlennNye @HarryEMitchell @RepMikeMichaud @RepJimMatheson @Rep_Giffords @bradellsworth #p2,positive
98,"RT @avivao: WHY #HCR bill must be passed, despite SERIOUS flaws: C-SPAN House hearing NOW. #p2 http://3.ly/3niH MUST SEE!",positive
99,RT @Liberal_Briana: RT @Unleashthadiva: VOTE YES FOR HCR!!!@RepMikeRoss @timryan @repschrader @JoeSestak @Rep_Albio_Sires #p2 #hcr,positive
106,"@barackobama Obamabots,Physicians website,93% of doctors against #HCR & 47% will quit if passed http://www.aapsonline.org/ #tcot #tab10 #sgp",negative
107,RT @KurtSchlichter: @PatDollard Let me offer my #hcr plan. You're grown men and women:  Pay for your own $?!%& health care. #Tcot #gop #tlot,negative
108,Obama set to ``Slaughter'' Healthcare http://wp.me/pv8jP-jG #tcot #gop #teaparty #iamthemob #hhrs #sgp #ocra #hcr #p2 @WAGNERGIRLE @reimagin,negative
109,Obama & Pelosi's toolbox contains the ''positively evil'' techniques which socialist marxism demands. #tweetcongress #tcot #hcr #teaparty,negative
110,Where is the msm outrage at the disregard of the constitution? (I know...that was a stupid question!)  #killthebill #hcr #gop #tcot #Liberty,negative
111,Pence calls on Pelosi to reveal ``special\r\ndeals'' on Healthcare http://bit.ly/bUUAKp #tcot #ohtcot #hcr #tweetcongress,neutral
112,Rep Dave Dreier calls for cameras in Rules Committee Hearing Room for #hcr debate http://is.gd/aLiGH #tcot #tlot #sgp #hhrs,neutral
113,PETITION: Support finishing the job on #hcr with reconciliation Please RT & Sign ---> http://bit.ly/9uuAjE,positive
114,WellPoint/BlueCross made $4.75bil in profits last yr during the worst economic crisis since Great Depression #passthedamnbill #HCR #p2 #tcot,positive
115,@HarryReid PETITION: Support finishing the job on #hcr with reconciliation Please RT & Sign ---> http://bit.ly/9uuAjE,positive
116,Be Sure to Thank @Dennis_Kucinich for Voting YES on #HCR Pls Rt #p2 #topprog #PassTheDamnBill #Healthcare,positive
117,122 people will die today b/c they can't afford HealthCare. #p2 #hcr #topprog #PassTheDamnBill,positive
118,THANK YOU @Dennis_Kucinich for Voting YES on #HCR! Pls Rt #p2 #topprog #PassTheDamnBill #PartyofNo #Healthcare,positive
119,RT @bradford2500: RT @harryreid PETITION: Support finishing the job on #hcr with reconciliation Please RT & Sign --> http://bit.ly/9uuAjE,positive
121,"@BarackObama Why 6 more wks to pass a #hcr Bill already passed in the House & Senate? Merge them, add #publicoption and just sign it !! #p2",negative
122,Editorial in @DetNews: #Dems shouldn't bend rules to pass #healthcare http://j.mp/b008DE #hc #hcr #handsoff #hcrsummit,negative
123,Stop the Obstruction and disrespect from the GOP-TParty & Pass with Reconciliation- Pass it ASAP- GOP allowing Us to die w/o #hcr @GOPLeader,negative
124,RT @Marnus3: Message to republicans: We pushed the reset button on 11/4/08. #p2 #hcr #ACORN,negative
125,"After House and Senate GOP Caucus, Hs Minority Ldr John Boehner says GOP determined the #HCR ''never ever ever passes.''",negative
126,Boehner: ''It's not too late 4 American ppl to speak up & make it clear they don't like this...Yell a little louder.'' #hcr,negative
127,"Hey Barack, roll up your bill and use it for a colonoscopy!  #tcot #redco #hc #hcr #healthcare #handsoff",negative
128,Democrat Clyburn: ''We are absolutely giddy'' over CBO numbers. ''Giddy'' over nearly $1 TRILLION pricetag. Whee! #hcr,negative
129,RT @TaoJonesTicker RT @JennaP3: Help spread the truth - most Americans want Health Care Reform http://bit.ly/aiLaIC #hcr #p2,neutral
130,President Obama makes case for #hcr at 1:45pm today http://www.cnn.com/2010/POLITICS/03/03/health.care/index.html,neutral
131,RT @MPOTheHill: Top Dems confident they have the votes on #hcr: http://bit.ly/bVV9jC ; Rep: Larson: ''I think we have the votes.'',neutral
132,Obama's problem is that getting the 217 House votes he needs on #hcr is far from certain. Pelosi hedging on whether she can deliver.,neutral
133,Reminder: #HCR isn't being passed w/ reconciliation. Senate bill (passed w/ 60) will be passed by House. Reconc will make minor budget fixes,neutral
134,"RT @CNN RT @cnnbrk: Idaho challenges national health care proposal, more may follow http://ow.ly/1nMq7 #hcr",neutral
135,Will be joining Stuart Varney at 8:32 AM CT on FBN to discuss #HCR #TCOT #MEETKARL,neutral
136,FYI: There is nothing on CBO blog yet about Demcare analysis - http://cboblog.cbo.gov/ #hcr #wreckonciliation,neutral
137,"Obama: don't know how #hcr plays politically, but I know its right. #healthreform",positive
138,RT @bobcesca_go: ''Let's get it done!'' Bill passing fever! Catch it! // #HCR #passthedamnbill,positive
139,"When a woman is 11 x as likely to die in childbirth in the US as in Ireland, we need #hcr. My col: http://nyti.ms/bFTb0o (via @NickKristof)",positive
140,Pass The Bill: CBO shows #HCR saves us big money over the next decade. http://tinyurl.com/y9logoc #P2,positive
141,"RT @winterthur: #GOPs #SarahPalin Loves Government #healthcare For Her Son, Tripp http://bit.ly/9Th3yn #hcr #hcs #p2  @SarahPalinUSA",negative
142,"Ezra Klein: CBO: Additionally, #HCR will cover 32 million Americans, or 95% of the legal population. http://bit.ly/cSqIEk #p2 tcot",neutral
143,@kirk4senate giddy about blocking #hcr: ``I'm Mark Kirk and I can't wait to vote against the health care bill next week'' http://bit.ly/aKAoxA,negative
144,"Still getting emails from Kucinich fans praising him for opposing #HCR, clearly unaware that he is now voting ''yes''.",negative
145,RT @JohnThune2012: NEJM: 1/3 of doctors could leave medicine if ObamaCare passes: http://bit.ly/9985Dy #tcot #hcr,negative
146,Last chance to say NO to ObamaCare (pass it on) http://bit.ly/cus6YI #hcr #tcot,negative
147,MA Treasurer on FoxNews now. Says ObamaCare will bankrupt America.  #tcot #hcr #teaparty #gop,negative
148,"In his contentious interview yesterday with Bret Baier of Fox News, Obama said he's confident #HCR will pass. Says it's ''right thing to do.''",negative
149,RT @michellemalkin: Just posted - CBO: Covering the Backsides of Obamacare-pushers? http://twurl.nl/ftwy57 #hcr #wreckonciliation,negative
150,"@mikepfs read Drudge update, the CBO has NOT come up w numbers! Its another Pelosi Obama LIE #hcr",negative
151,"Come to DC Friday morning, join Obama for major #hcr event at Patriot Center, no tix needed http://bit.ly/aavNaQ",neutral
152,"The #hcr bill will be posted on the Net for 2 days; all 2,800 pages. I say we all pick one page to read and meet back here. #teaparty #tcot",neutral
153,"Bachmann Accuses The Media Of `Treason,' Claims Use Of `Deem And Pass' Warrants `Impeachment' http://is.gd/aNbhi #hcr #p2 #tcot",neutral
154,President Obama's pitch: Fate of presidency on the line :: http://ow.ly/1nLdX  #Obama #hcr #Politics,neutral
155,WATCH: #HealthCare ( #hcr ) Crunch Time - Passing President Obama's bill comes down to a few wavering Democrats.   ... http://ow.ly/16PKO2,neutral
156,RT @lgailey    Sign Alan Grayson's petition demanding Medicare buy in option: wewantmedicare.com #p2 #hcr #healthcare,neutral
157,Dem. Congressman calls #healthcare vote plan 'disingenuous' (From @BostonHerald) http://j.mp/9MoLJb #handsoff #hc #hcr #tcot,neutral
158,"I just announced the CBO numbers on final #hcr: cuts the deficit by more than $130B in the 1st 10 yrs, and more than $1T in the 2nd 10 yrs.",neutral
159,"RT @HealthReformNow: CBO #s: Cuts deficit by more than $130B in 1st 10 years(2010-19), $1.2 trillion in 2nd 10 yrs #hcr",neutral
160,RT @CrabbyCon: RT @vadum: Former 'Yes' Dem Becomes 'No' & There R More http://tinyurl.com/yc8o2za #hcr #wreckonciliation,positive
161,RT @heirsinhope: Michelle Bachmann on killing the bill http://bit.ly/cfkSPH Watch & RT Plz #hcr #tcot - She's amazing!,positive
162,RT @joanwalsh: Dennis Kucinich speaks for me; I was moved by his anguish over what an #hcr loss means to Obama's pre... http://shar.es/mWjYC,positive
163,"RT @OurFuturedotorg: No More Delays! Tell the House: Get Health Care Done, Now: http://is.gd/aMaxU - #healthcare #hcr #p2",positive
164,BREAKING: Palin discloses she crossed over into Russia to get vodka. #p2 #hcr #ACORN,negative
166,RT @PatriotCzar: RT @kmita3: Code Red: Stop the obama/Pelosi Government Health-care Takeover  http://bit.ly/bTieVP #hcr #tcot #hhrs #tlot,negative
167,Truth about Cuba health care. Shocking photos from Left's medical paradise: http://tinyurl.com/yf764ws #hcr #gop #libertarian TAX #obamacare,negative
168,"Again, I cannot make it any easier for you people: http://is.gd/a3Gsl (via @ewerickson) -- Call Congress. Tell them VOTE NO on Senate #HCR",negative
169,"Love? ''Flee, loser, we'll find you.'' http://twitpic.com/17kisw #tcot #teaparty #sgp #beck #gop #rush #p2 #dnc #dems #ocra #hcr",negative
170,"We have to pass #hcr so we know what's in it?  Wait, what?  http://bit.ly/aXGIj2",negative
171,Obama's congressmen will sabotage the health bill to keep their seats. http://bit.ly/bozMkV /via @GuardianUSA #publicoption @maddow #hcr,negative
172,Want more taxes? Pass #hcr #tcot #teaparty #sgp #beck #gop #rush #p2 #dnc #dems #tlot #politics #conservative #ocra #obamafail #GlennBeck,negative
173,Heritage: No Stupak deal yet. He expects #hcr bill ''sometime this year''  Other Dems switch to NO or MAYBE. http://bit.ly/9JlzN9 #tcot #rush,neutral
174,Mitch Daniels: Hoosiers and Health Savings Accounts - WSJ.com: http://bit.ly/d3OcYk via @addthis #hcr #tcot,neutral
175,RT @Shoq: .@MSNBC @CNN @ABC @NBC @mitchellreports Fox is now airing the DC #HCR rally? Doesn't that embarrass you AT ALL?  #p2 #m9,neutral
176,Senator Baucus calls the White House Mar 18 deadline for House passage of healthcare ''a steep climb.'' http://bit.ly/aUUlmE #hcr #hhrs #sgp,neutral
177,http://bit.ly/ambX26   Rachel Maddow: ''Who really paid Bart Stupak's rent?'' A: Looks like the Family. #hcr #p2,neutral
178,Some irony: #Palin - the great critic of ''socialized'' health care - crossed border for #canadian health care. http://snurl.com/uq0yu #hcr,positive
179,Limbaugh says he'll leave the country if #healthcare reform passes. Help him pack his bags by taking action NOW: http://is.gd/9XXMN #hcr #p2,positive
180,RT @tnr: #hcr is getting more popular--and Chait's betting that Obama has something to do with it. http://bit.ly/9CdnHQ,positive
181,Another reason to vote for #hcr: RT @CBSNews: Rush Limbaugh: I'll Leave Country Over Health Bill http://bit.ly/9Uevxs (via @Nobilis),positive
182,True 'Win/Win' situation: We get health care*&* get rid of Rush Limbaugh!: http://is.gd/a4nzU (via @markos ) #hcr #p2,positive
183,Rush Limbaugh will leave country if #hcr passes. Could we BE so lucky?! ;),positive
184,This is it! We're down to the final stretch (REALLY!) for #hcr. Now's the time to reach out to Congress to support reform http://ow.ly/1gynL,positive
185,Huffpost - Obama whats your excuss now: New Poll Shows 76% Support For Choice Of Public Plan WE ALL WANT IT! http://bit.ly/fhzB8 #hcr #p2,positive
186,Beating the drum for #hcr #m9 http://tweetphoto.com/13813849,positive
187,RT @Shoq .@contessaBrewer @msnbc @stevebruskCNN @CNN Why aren't you giving DC #HCR rally same attn you lavished on tea parties? #m9 #p2,negative
188,"Don't want ObamaCare? Help send 1,000,000 emails to Congress by going to http://bit.ly/dknG61 and sending a letter today! #hcr #tcot #tlot",negative
190,"VERY interesting read: 'Massa Implicates Emanuel, Dem Leaders' http://bit.ly/dBmzNc #tcot #HCR #SGP #hhrs #rush",negative
191,What one more final push for #HCR.  How about jobs & the economy.  The American people don't want you to waste their time.  #congress #tcot,negative
192,RT @ymordfin: Massa: Pelosi pushed me out- she knew I'd vote no on O-Care http://is.gd/9XILX #tcot #hcr Talk about an ethics violation!,negative
193,"#Obama will not take questions today, think of it as campaign rally for #hcr",negative
194,"Best heathcare system in the world!!!! (Canada, that is -- where Sarah Palin's parents border-hopped for healthcare) tcot #hcr #p2",negative
195,Paying doctors more doesn't mean you get better quality #healthcare.  http://bit.ly/8XBbMM #healthreform #hcr,negative
196,#UK Telegraph: ''The end of the road for Barack Obama? Barack Obama seems unable to face up to America's problems.'' http://bit.ly/a6Elsi #hcr,negative
197,Everyone needs to contact as many ppl as they can think of to inform them of tea party march to stop the #hcr vote and #hcr.,negative
198,He needed to start this fight club a year ago. MT @markknoller Obama: ''I want you to stand with me and fight with me.'' #hcr,negative
199,"RT @GOPLeader: Boehner: President's Latest Health Care Pitch `Heavy on Snake Oil, Light on Reality' http://bit.ly/9pxGcI #hcr #tcot",negative
200,Hey Obama! send your unwanted scrap Nobel to Ca$h4Gold & stop using our $$ to pay your #HCR campaign finances! #obamafail #tcot #sgp,negative
201,I can see Canadian health care from my house.'' - @SarahPalinUSA http://tr.im/R5DK #hcr #tcot,negative
202,"Palin Crossed Border For Canadian Health Care: http://bit.ly/aBR5IB #singlepayer, #hcr",negative
203,VIDEO: What Health Reform Will Deliver - This Year http://bit.ly/dprgvg (weekly address) #hcr,neutral
204,Confused about what happens next in #hcr? Here's a good summary from David Herszenhorn of @nytimes: http://nyti.ms/8Z5jNX,neutral
205,Interesting comments from resigning Massa (d) about Dem party pressuring dems on #hcr. @foxnews #killthebill #tcot,neutral
206,*** - - >Please follow and support @RoxanneConlin who's running against #Gop #asshat @ChuckGrassley for Senate seat in Iowa #HCR,positive
207,Barack Obama 's Changes being accomplished his (Cloward & Piven Strategy) http://bit.ly/18dkI6 #HCR #tcot #p2 #teaparty #ucot #sgp #gop,neutral
208,"Earlier, John Fund on @GrandyandAndy on WMAL said Stupak et. al. can bring the #hcr bill down (via @matthewfaracidc)",neutral
210,Remind them to say no on #HCR - Call Lincoln Davis - TN04 /  202-225-6831 or  931-879-2361 Web http://www.house.gov/lincolndavis/,negative
211,RT @Marnus3: Anyone who has had their unemployment benefits interrupted should #sendyourbillstojimbunning #p2 #hcr / great idea!,negative
212,Exposing the Truth about Reconciliation and the `Nuclear Option' http://is.gd/9xYFf #hcr #rsc #gop #p2 #tcot,negative
213,RT @PomPrincessMomJ: RT @Marnus3: Bunning made a deal because he would have to stand there all night without a relief pitcher. #p2 #hcr,negative
214,32 Senators have now signed Sen. Bennet's letter to pass the #publicoption through #reconciliation http://bit.ly/aM3fR4 #hcr,neutral
215,RT @slackadjuster  RT @mikecantone: 33 Senators now signed on to pass #publicoption #hcr http://whipcongress.com,neutral
216,RT @BreakthroughHS: Bad Advice to the GOP on Health Care | John Goodman | NCPA http://bit.ly/dCv6bc #hcr #obamacare,neutral
217,D.C. Archdiocese Forced to Drop Coverage for Spouses over Same-Sex ''Marriage'' http://bit.ly/9oXuDh\n #hcr,neutral
218,O clearly is calling for using reconciliation. W/o referring to it directly. ''Will leave it to the others to sift thru the politics.'' #hcr,neutral
219,POTUS: This debate is about ''What kind of Country we Want to Be'' #hcr #p2 #tcot,neutral
220,Seen the #OFA ad? Now pledge to fight for Reps who fight for #HCR http://bit.ly/aT09xB #p2,positive
221,Unwavering in the fight for the #publicoption via #reconciliation! Thx for the Retweets @AUFanatic23 @You2Gov @wsteffie. #hcr #Solidarity!!,positive
222,Tweet @blanche4senate and tell her to pass the #publicoption through #reconciliation. #hcr,positive
223,RT @CtMan1 RT @RayBeckerman RT@LibbyLefty We need tru #HCR.Call Sen.Carper 202-224-2441-tell him 2 support #PublicOption thru Reconcilition,positive
224,POTUS: ''The bottom line is our proposal is paid for. '' #hcr,positive
225,"RT @utbrp    President Obama puts the correct face on #HCR, it's not about Politicians getting re-elected. It's about People.",positive
226,My hope is that the delay in the #hcr recon vote is due to getting enough votes for #publicoption. Crossing my fingers.,positive
227,Gulf Vets disability claims RE-EXAMINED-->IS THIS SOCIALISM?...#military #hcr #p2 #tcot #tlot #gop #sgp #teaparty {GULF WAR OFF THE BOOKS! },negative
228,"If they had the votes, we wouldn't have had the summit.~Rep. Marsha Blackburn #ocra #tcot #hcr",negative
230,"Larry Kudlow: `With Obamacare, the government is selling a product that the rest of the country doesn't want' http://bit.ly/a9Vwqt #hcr",negative
231,RT @wordsofpower RT @_Gitana Digging into Polls on HCR: Public Wants Stronger Reform http://bit.ly/aCZuUh #hcr #topprogs #rebelleft #p2,negative
232,"RT @beaglescout: \nDo U like living in yr parents' house,like a child, aged 40,obeying their rules? U will LUV Obamacare #handsoff #tcot #hcr",negative
233,"As if #hcr isn't bad enough, now #government wants to regulate dietary supplements. #tlot #tcot @myen http://ow.ly/1fQ7C",negative
234,"Wednesday marked Obama's 35th major speech on #hcr. But this time he really, really, really means it http://bit.ly/9GBryk #hc",negative
235,"Pssst, #MSM http://bit.ly/cRAC4f About That Fabulous Free Cuban Health Care... #hcr #cuba #tcot #tlot #sgp #p2 #topprog #rebelleft #politics",negative
